"PDF","OUTCOME","COMMENTS","PAGE","LAYOUT","ARMS","ARMS_WITH_N","LINES","VARIABLES","CONTINUOUS","SKIPPED","SECONDS"
"CJA/2008/8.1.pdf","successfully parsed","Table page 3 (columns layout); 3 arm(s), 0 with N; 4 table lines -> 2 variables (0 continuous rows); 7 line(s) skipped as unusable; heuristic engine, 0.9 s",3,"columns",3,0,4,2,0,7,0.88
"CJA/2009/2.1.pdf","successfully parsed","Table page 4 (single layout); 5 arm(s), 2 with N; 2 table lines -> 1 variables (0 continuous rows); 5 line(s) skipped as unusable; heuristic engine, 0.9 s",4,"single",5,2,2,1,0,5,0.93
"eja/2002/10.1.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2002/10.1.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2002/10.2.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2002/10.2.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.36
"eja/2002/11.1.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2002/11.1.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.36
"eja/2002/11.2.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2002/11.2.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.36
"eja/2002/11.3.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2002/11.3.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2002/11.4.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2002/11.4.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.36
"eja/2002/11.5.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2002/11.5.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.35
"eja/2002/11.6.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2002/11.6.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.34
"eja/2002/9.1.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2002/9.1.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.36
"eja/2002/9.2.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2002/9.2.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2002/9.3.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2002/9.3.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.34
"eja/2003/1.1.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/1.1.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2003/1.2.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/1.2.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2003/1.3.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/1.3.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2003/1.4.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/1.4.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2003/1.5.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/1.5.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2003/1.6.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/1.6.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2003/10.1.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/10.1.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2003/10.2.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/10.2.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.35
"eja/2003/10.3.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/10.3.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2003/10.4.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/10.4.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2003/11.1.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/11.1.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2003/11.2.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/11.2.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2003/11.3.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/11.3.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2003/11.4.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/11.4.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2003/11.5.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/11.5.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2003/11.6.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/11.6.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2003/11.7.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/11.7.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2003/12.1.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/12.1.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2003/12.2.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/12.2.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.34
"eja/2003/12.3.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/12.3.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2003/12.4.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/12.4.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.34
"eja/2003/12.5.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/12.5.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2003/2.1.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/2.1.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.34
"eja/2003/2.2.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/2.2.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2003/2.3.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/2.3.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2003/2.4.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/2.4.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2003/3.1.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/3.1.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2003/4.1.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/4.1.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2003/5.1.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/5.1.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2003/5.2.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/5.2.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.31
"eja/2003/5.3.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/5.3.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2003/6.1.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/6.1.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2003/6.2.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/6.2.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2003/6.3.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/6.3.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2003/6.4.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/6.4.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2003/6.5.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/6.5.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2003/7.1.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/7.1.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2003/7.2.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/7.2.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2003/7.3.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/7.3.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2003/8.1.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/8.1.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.36
"eja/2003/8.2.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/8.2.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.34
"eja/2003/8.3.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/8.3.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2003/8.4.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/8.4.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2003/8.5.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/8.5.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.34
"eja/2003/8.6.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/8.6.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2003/8.7.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/8.7.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.4
"eja/2003/9.1.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/9.1.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.38
"eja/2003/9.2.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/9.2.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.36
"eja/2003/9.3.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2003/9.3.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.37
"eja/2004/1.1.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/1.1.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.38
"eja/2004/1.2.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/1.2.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.36
"eja/2004/1.3.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/1.3.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.36
"eja/2004/1.4.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/1.4.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.35
"eja/2004/10.1.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/10.1.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.35
"eja/2004/10.2.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/10.2.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.35
"eja/2004/10.3.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/10.3.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.35
"eja/2004/10.4.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/10.4.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.34
"eja/2004/10.5.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/10.5.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.35
"eja/2004/10.6.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/10.6.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.35
"eja/2004/11.1.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/11.1.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.36
"eja/2004/11.2.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/11.2.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.35
"eja/2004/11.3.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/11.3.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.35
"eja/2004/11.4.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/11.4.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.35
"eja/2004/12.1.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/12.1.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2004/12.2.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/12.2.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2004/3.1.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/3.1.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2004/3.2.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/3.2.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2004/3.3.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/3.3.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.31
"eja/2004/3.4 (retracted Boldt).pdf","not successfully parsed","Failed at table-page identification: No usable baseline table could be parsed from C:/temp/journals/eja/2004/3.4 (retracted Boldt).pdf. Try the `pages` or `layout` argument, or ai = ""always"".",NA,NA,NA,NA,0,0,0,NA,0.37
"eja/2004/4.1.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/4.1.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2004/4.2.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/4.2.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2004/5.1.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/5.1.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2004/5.2.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/5.2.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2004/5.3.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/5.3.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2004/6.1.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/6.1.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2004/6.2.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/6.2.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.34
"eja/2004/6.3.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/6.3.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2004/7.1.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/7.1.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2004/7.2.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/7.2.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2004/7.3.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/7.3.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2004/7.4.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/7.4.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2004/7.5.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/7.5.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2004/7.6.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/7.6.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.32
"eja/2004/8.1.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/8.1.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2004/8.2.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/8.2.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.37
"eja/2004/8.3.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/8.3.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.34
"eja/2004/9.1.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/9.1.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.33
"eja/2004/9.2.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/9.2.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.4
"eja/2004/9.3.pdf","not successfully parsed","Failed at table-page identification: No text layer found in C:/temp/journals/eja/2004/9.3.pdf - it is a scanned image. Re-run with ocr = TRUE.",NA,NA,NA,NA,0,0,0,NA,0.36
"eja/2005/10.2.pdf","successfully parsed","Table page 3 (columns layout); 2 arm(s), 0 with N; 4 table lines -> 2 variables (0 continuous rows); 8 line(s) skipped as unusable; heuristic engine, 1.1 s",3,"columns",2,0,4,2,0,8,1.08
"eja/2005/10.3.pdf","successfully parsed","Table page 5 (single layout); 6 arm(s), 2 with N; 15 table lines -> 4 variables (0 continuous rows); 0 line(s) skipped as unusable; heuristic engine, 0.9 s",5,"single",6,2,15,4,0,0,0.9
"eja/2005/10.4.pdf","successfully parsed","Table page 3 (single layout); 8 arm(s), 1 with N; 27 table lines -> 4 variables (4 continuous rows); 3 line(s) skipped as unusable; heuristic engine, 0.8 s",3,"single",8,1,27,4,4,3,0.76
"eja/2005/2.2.pdf","successfully parsed","Table page 3 (single layout); 3 arm(s), 2 with N; 6 table lines -> 3 variables (0 continuous rows); 10 line(s) skipped as unusable; heuristic engine, 0.6 s",3,"single",3,2,6,3,0,10,0.62
"eja/2005/3.2.pdf","successfully parsed","Table page 3 (columns layout); 4 arm(s), 0 with N; 5 table lines -> 2 variables (0 continuous rows); 5 line(s) skipped as unusable; heuristic engine, 1.0 s",3,"columns",4,0,5,2,0,5,0.96
"eja/2005/4.3.pdf","successfully parsed","Table page 3 (columns layout); 3 arm(s), 3 with N; 9 table lines -> 3 variables (1 continuous rows); 1 line(s) skipped as unusable; heuristic engine, 0.7 s",3,"columns",3,3,9,3,1,1,0.71
"eja/2005/6.7.pdf","successfully parsed","Table page 3 (columns layout); 3 arm(s), 0 with N; 6 table lines -> 2 variables (0 continuous rows); 4 line(s) skipped as unusable; heuristic engine, 0.7 s",3,"columns",3,0,6,2,0,4,0.71
"eja/2006/10.3.pdf","successfully parsed","Table page 2 (columns layout); 2 arm(s), 0 with N; 4 table lines -> 2 variables (0 continuous rows); 2 line(s) skipped as unusable; heuristic engine, 0.9 s",2,"columns",2,0,4,2,0,2,0.92
"eja/2006/12.1.pdf","not successfully parsed","Failed at table-page identification: No usable baseline table could be parsed from C:/temp/journals/eja/2006/12.1.pdf. Try the `pages` or `layout` argument, or ai = ""always"".",NA,NA,NA,NA,0,0,0,NA,0.86
"eja/2006/12.3.pdf","successfully parsed","Table page 4 (single layout); 7 arm(s), 0 with N; 6 table lines -> 3 variables (3 continuous rows); 6 line(s) skipped as unusable; heuristic engine, 1.0 s",4,"single",7,0,6,3,3,6,0.96
"eja/2006/3.2.pdf","successfully parsed","Table page 4 (columns layout); 2 arm(s), 0 with N; 9 table lines -> 9 variables (9 continuous rows); 1 line(s) skipped as unusable; heuristic engine, 1.1 s",4,"columns",2,0,9,9,9,1,1.09
"eja/2006/5.2.pdf","successfully parsed","Table page 2 (single layout); 3 arm(s), 0 with N; 2 table lines -> 1 variables (0 continuous rows); 2 line(s) skipped as unusable; heuristic engine, 0.8 s",2,"single",3,0,2,1,0,2,0.8
"eja/2006/6.7.pdf","successfully parsed","Table page 3 (columns layout); 3 arm(s), 0 with N; 6 table lines -> 2 variables (2 continuous rows); 1 line(s) skipped as unusable; heuristic engine, 0.7 s",3,"columns",3,0,6,2,2,1,0.71
"eja/2006/8.5.pdf","successfully parsed","Table page 2 (single layout); 4 arm(s), 0 with N; 3 table lines -> 1 variables (0 continuous rows); 1 line(s) skipped as unusable; heuristic engine, 0.7 s",2,"single",4,0,3,1,0,1,0.68
"eja/2006/9.1.pdf","successfully parsed","Table page 2 (columns layout); 4 arm(s), 3 with N; 3 table lines -> 1 variables (0 continuous rows); 2 line(s) skipped as unusable; heuristic engine, 0.6 s",2,"columns",4,3,3,1,0,2,0.64
"eja/2007/1.2.pdf","successfully parsed","Table page 4 (single layout); 4 arm(s), 4 with N; 28 table lines -> 7 variables (0 continuous rows); 4 line(s) skipped as unusable; heuristic engine, 1.0 s",4,"single",4,4,28,7,0,4,0.99
"eja/2007/11.2.pdf","successfully parsed","Table page 5 (single layout); 8 arm(s), 0 with N; 4 table lines -> 1 variables (0 continuous rows); 4 line(s) skipped as unusable; heuristic engine, 0.9 s",5,"single",8,0,4,1,0,4,0.88
"eja/2007/4.2.pdf","successfully parsed","Table page 2 (single layout); 9 arm(s), 0 with N; 72 table lines -> 9 variables (9 continuous rows); 4 line(s) skipped as unusable; heuristic engine, 0.7 s",2,"single",9,0,72,9,9,4,0.7
"eja/2007/5.3.pdf","not successfully parsed","Failed at table-page identification: No usable baseline table could be parsed from C:/temp/journals/eja/2007/5.3.pdf. Try the `pages` or `layout` argument, or ai = ""always"".",NA,NA,NA,NA,0,0,0,NA,0.63
"eja/2007/6.4.pdf","successfully parsed","Table page 3 (single layout); 2 arm(s), 0 with N; 3 table lines -> 3 variables (0 continuous rows); 7 line(s) skipped as unusable; heuristic engine, 0.9 s",3,"single",2,0,3,3,0,7,0.95
"eja/2007/7.2.pdf","successfully parsed","Table page 3 (columns layout); 3 arm(s), 0 with N; 5 table lines -> 3 variables (0 continuous rows); 8 line(s) skipped as unusable; heuristic engine, 0.8 s",3,"columns",3,0,5,3,0,8,0.77
"eja/2008/1.2.pdf","not successfully parsed","Failed at table-page identification: No usable baseline table could be parsed from C:/temp/journals/eja/2008/1.2.pdf. Try the `pages` or `layout` argument, or ai = ""always"".",NA,NA,NA,NA,0,0,0,NA,0.92
